Date,Year,Month,Max Temp,Min Temp,Mean Temp,Total Precip (mm)
2021-01,2021,1,-4.2,-11.125,-7.641666666666666,2.891666666666667
2021-02,2021,2,-1.3187499999999996,-9.10625,-5.2125,3.2562499999999996
2021-03,2021,3,4.004761904761905,-6.052380952380951,-1.028571428571428,2.104761904761905
2021-04,2021,4,12.799999999999999,2.4217391304347826,7.604347826086956,2.9782608695652173
2021-05,2021,5,20.971999999999998,9.44,15.188000000000002,0.16399999999999998
2021-06,2021,6,26.811538461538458,15.91153846153846,21.37307692307692,3.4923076923076923
2021-07,2021,7,25.252941176470593,16.494117647058825,20.876470588235293,2.9647058823529413
2021-08,2021,8,29.20625,19.83125,24.531250000000004,1.3812499999999999
2021-09,2021,9,22.315789473684205,13.731578947368419,18.03157894736842,3.521052631578948
2021-10,2021,10,13.918750000000001,6.94375,10.4375,5.6
2021-11,2021,11,6.206666666666666,-0.10000000000000006,3.060000000000001,3.826666666666667
2021-12,2021,12,3.257894736842106,-6.047368421052632,-1.394736842105263,3.38421052631579
