Date,Year,Month,Max Temp,Min Temp,Mean Temp,Total Precip (mm)
2018-01,2018,1,-5.27,-14.406666666666672,-9.863333333333335,2.9166666666666665
2018-02,2018,2,0.2928571428571432,-9.403571428571427,-4.564285714285717,2.1821428571428574
2018-03,2018,3,2.4935483870967743,-4.329032258064516,-0.9193548387096775,1.3451612903225805
2018-04,2018,4,8.086666666666668,-0.27333333333333293,3.92,3.1200000000000006
2018-05,2018,5,22.042857142857144,9.821428571428571,15.960714285714287,1.5642857142857145
2018-06,2018,6,24.058620689655175,13.79310344827586,18.948275862068964,2.5965517241379312
2018-07,2018,7,29.50714285714286,18.746428571428574,24.139285714285712,3.3035714285714284
2018-08,2018,8,27.54615384615385,18.407692307692308,22.96923076923077,2.4384615384615382
2018-09,2018,9,22.6,12.285714285714288,17.442857142857143,4.6000000000000005
2018-10,2018,10,10.873684210526315,3.7473684210526317,7.305263157894737,3.6052631578947367
2018-11,2018,11,3.3625000000000003,-2.45625,0.44375000000000037,3.6125000000000007
2018-12,2018,12,1.276923076923077,-8.384615384615385,-3.5615384615384618,4.992307692307692
