Date,Year,Month,Max Temp,Min Temp,Mean Temp,Total Precip (mm)
2020-01,2020,1,-2.255555555555556,-9.572222222222221,-5.905555555555556,4.377777777777778
2020-02,2020,2,-1.2421052631578948,-10.226315789473682,-5.742105263157895,2.5578947368421048
2020-03,2020,3,5.991666666666667,-2.0708333333333333,1.9583333333333333,4.779166666666668
2020-04,2020,4,9.59259259259259,0.5999999999999999,5.1,2.566666666666667
2020-05,2020,5,18.23333333333333,7.095833333333331,12.666666666666666,1.2
2020-06,2020,6,25.36111111111111,13.783333333333333,19.57777777777778,2.0444444444444443
2020-07,2020,7,29.885714285714283,19.847619047619048,24.857142857142858,3.10952380952381
2020-08,2020,8,24.968421052631584,16.80526315789474,20.9,8.06842105263158
2020-09,2020,9,20.699999999999996,11.58,16.133333333333333,4.319999999999999
2020-10,2020,10,14.469999999999999,4.994999999999999,9.725,3.535
2020-11,2020,11,8.299999999999999,-0.5000000000000002,3.89047619047619,2.3714285714285714
2020-12,2020,12,2.1217391304347832,-5.1521739130434785,-1.5173913043478258,3.034782608695652
