Date,Year,Month,Max Temp,Min Temp,Mean Temp,Total Precip (mm)
2016-01,2016,1,-1.8666666666666667,-10.29,-6.099999999999999,1.1199999999999999
2016-02,2016,2,-1.3333333333333333,-10.177777777777779,-5.77037037037037,3.544444444444444
2016-03,2016,3,4.3741935483870975,-4.180645161290323,0.1032258064516129,3.0903225806451617
2016-04,2016,4,9.227586206896552,-1.2724137931034487,3.9896551724137934,3.1689655172413795
2016-05,2016,5,20.593548387096774,8.758064516129034,14.706451612903226,0.9451612903225806
2016-06,2016,6,24.46666666666666,13.899999999999999,19.21333333333333,1.9966666666666668
2016-07,2016,7,27.00322580645161,16.761290322580642,21.909677419354843,2.27741935483871
2016-08,2016,8,27.574193548387097,17.493548387096773,22.5516129032258,4.716129032258064
2016-09,2016,9,23.09285714285715,12.103571428571426,17.625000000000004,0.8714285714285717
2016-10,2016,10,13.874193548387096,5.687096774193548,9.803225806451614,4.941935483870967
2016-11,2016,11,7.344827586206898,0.5586206896551725,3.9689655172413785,1.779310344827586
2016-12,2016,12,-0.4903225806451614,-8.022580645161291,-4.2709677419354835,2.8096774193548386
