Date,Year,Month,Day,Max Temp,Min Temp,Mean Temp,Total Precip (mm),Spd of Max Gust (km/h)
2021-01-02,2021,1,2,-0.5,-5.0,-2.8,7.7,34
2021-01-13,2021,1,13,1.7,-1.5,0.1,0.0,32
2021-01-16,2021,1,16,2.7,-1.0,0.9,18.7,38
2021-01-17,2021,1,17,0.8,-4.7,-1.9,2.7,42
2021-01-18,2021,1,18,-4.6,-13.7,-9.1,0.2,33
2021-01-20,2021,1,20,-6.5,-15.3,-10.9,0.7,34
2021-01-21,2021,1,21,-3.3,-15.2,-9.2,3.9,33
2021-01-22,2021,1,22,-3.1,-10.0,-6.5,0.2,32
2021-01-23,2021,1,23,-9.9,-15.6,-12.7,0.2,40
2021-01-24,2021,1,24,-10.1,-17.6,-13.8,0.4,42
2021-01-28,2021,1,28,-5.2,-16.4,-10.8,0.0,42
2021-01-29,2021,1,29,-12.4,-17.5,-15.0,0.0,32
2021-02-01,2021,2,1,-6.0,-18.1,-12.1,0.0,35
2021-02-02,2021,2,2,-1.8,-6.8,-4.3,10.3,55
2021-02-03,2021,2,3,1.8,-2.8,-0.5,2.3,35
2021-02-05,2021,2,5,1.9,-7.3,-2.7,3.8,37
2021-02-06,2021,2,6,-3.5,-10.1,-6.8,0.0,52
2021-02-07,2021,2,7,-2.6,-10.9,-6.7,0.2,41
2021-02-10,2021,2,10,-6.3,-12.6,-9.4,0.0,33
2021-02-11,2021,2,11,-7.6,-17.8,-12.7,0.0,40
2021-02-16,2021,2,16,-2.5,-11.8,-7.1,12.0,46
2021-02-17,2021,2,17,-8.4,-16.1,-12.3,0.0,35
2021-02-22,2021,2,22,-0.3,-8.9,-4.6,2.7,38
2021-02-23,2021,2,23,2.6,-0.7,0.9,0.8,31
2021-02-24,2021,2,24,3.4,-0.4,1.5,8.9,48
2021-02-25,2021,2,25,-0.4,-8.4,-4.4,0.4,42
2021-02-27,2021,2,27,3.5,-8.1,-2.3,9.7,49
2021-02-28,2021,2,28,5.1,-4.9,0.1,1.0,53
2021-03-01,2021,3,1,5.0,-15.3,-5.1,5.3,69
2021-03-02,2021,3,2,-7.6,-17.9,-12.7,0.8,55
2021-03-04,2021,3,4,-3.1,-9.8,-6.5,0.0,54
2021-03-05,2021,3,5,-7.9,-12.5,-10.2,0.0,52
2021-03-06,2021,3,6,-5.8,-11.3,-8.6,0.0,40
2021-03-07,2021,3,7,-4.8,-10.5,-7.6,0.0,32
2021-03-09,2021,3,9,4.9,-4.6,0.2,0.0,35
2021-03-11,2021,3,11,11.5,3.7,7.6,2.0,56
2021-03-12,2021,3,12,7.5,-5.2,1.1,0.3,61
2021-03-13,2021,3,13,-1.5,-7.9,-4.7,0.0,45
2021-03-14,2021,3,14,-1.3,-12.2,-6.8,0.0,55
2021-03-15,2021,3,15,-6.3,-15.7,-11.0,0.2,42
2021-03-18,2021,3,18,6.6,-6.9,-0.1,0.0,49
2021-03-19,2021,3,19,-0.1,-9.4,-4.8,0.0,37
2021-03-20,2021,3,20,9.9,-2.2,3.8,0.0,37
