Date,Year,Month,Day,Max Temp,Min Temp,Mean Temp,Total Precip (mm),Spd of Max Gust (km/h)
2015-01-01,2015,1,1,-2.9,-7.4,-5.2,0.3,54
2015-01-02,2015,1,2,-3.3,-16.0,-9.7,0.2,48
2015-01-03,2015,1,3,-7.7,-17.5,-12.6,12.3,35
2015-01-04,2015,1,4,3.6,-7.8,-2.1,25.3,61
2015-01-05,2015,1,5,-5.1,-17.8,-11.5,0.0,63
2015-01-07,2015,1,7,-8.9,-26.0,-17.5,2.7,44
2015-01-08,2015,1,8,-7.1,-26.7,-16.9,0.7,44
2015-01-09,2015,1,9,-5.9,-13.3,-9.6,1.2,48
2015-01-10,2015,1,10,-8.4,-13.1,-10.8,0.0,39
2015-01-11,2015,1,11,-4.2,-11.3,-7.8,0.0,33
2015-01-12,2015,1,12,-1.9,-16.7,-9.3,3.2,39
2015-01-13,2015,1,13,-16.7,-23.8,-20.3,0.4,0
2015-01-14,2015,1,14,-14.4,-23.8,-19.1,0.0,0
2015-01-15,2015,1,15,-4.4,-20.4,-12.4,0.0,0
2015-01-16,2015,1,16,-2.4,-20.3,-11.4,0.6,56
2015-01-17,2015,1,17,-14.6,-23.5,-19.1,0.0,0
2015-01-18,2015,1,18,2.7,-15.1,-6.2,3.7,41
2015-01-19,2015,1,19,1.4,-13.4,-6.0,1.6,44
2015-01-20,2015,1,20,-13.4,-18.2,-15.8,0.0,39
2015-01-21,2015,1,21,-9.6,-20.7,-15.2,0.0,0
2015-01-22,2015,1,22,-9.1,-18.3,-13.7,0.0,0
2015-01-23,2015,1,23,-0.2,-11.2,-5.7,0.0,46
2015-01-24,2015,1,24,-0.4,-3.0,-1.7,0.0,32
2015-01-25,2015,1,25,-1.7,-18.3,-10.0,0.2,50
2015-01-26,2015,1,26,-14.3,-22.2,-18.3,0.0,39
2015-01-27,2015,1,27,-9.5,-15.7,-12.6,0.0,56
2015-01-28,2015,1,28,-8.3,-15.4,-11.9,0.0,0
2015-01-29,2015,1,29,-0.7,-15.5,-8.1,1.5,43
2015-01-30,2015,1,30,-2.1,-19.1,-10.6,3.9,35
2015-01-31,2015,1,31,-14.6,-22.5,-18.6,0.2,37
2015-02-01,2015,2,1,-13.9,-19.8,-16.9,0.0,33
2015-02-02,2015,2,2,-17.2,-22.4,-19.8,2.3,48
2015-02-03,2015,2,3,-7.3,-22.8,-15.1,0.9,0
2015-02-04,2015,2,4,-3.9,-9.3,-6.6,3.4,0
2015-02-05,2015,2,5,-7.1,-21.0,-14.1,0.2,0
2015-02-06,2015,2,6,-9.3,-24.0,-16.7,1.0,0
2015-02-07,2015,2,7,-12.5,-18.7,-15.6,0.0,0
2015-02-08,2015,2,8,-13.6,-18.4,-16.0,2.9,52
2015-02-09,2015,2,9,-11.5,-15.3,-13.4,0.7,52
2015-02-10,2015,2,10,-7.1,-14.3,-10.7,0.2,0
2015-02-11,2015,2,11,-10.8,-16.6,-13.7,0.7,0
2015-02-12,2015,2,12,-7.6,-18.2,-12.9,2.1,39
2015-02-13,2015,2,13,-18.1,-24.0,-21.1,0.2,41
2015-02-14,2015,2,14,-13.6,-21.0,-17.3,0.0,44
2015-02-15,2015,2,15,-14.0,-21.8,-17.9,0.0,54
2015-02-16,2015,2,16,-16.3,-23.7,-20.0,0.0,43
2015-02-17,2015,2,17,-12.8,-24.0,-18.4,0.0,0
2015-02-18,2015,2,18,-6.9,-20.6,-13.8,0.0,0
2015-02-19,2015,2,19,-8.2,-18.4,-13.3,2.0,48
2015-02-20,2015,2,20,-14.2,-19.5,-16.9,0.9,50
2015-02-21,2015,2,21,-7.5,-17.8,-12.7,2.7,0
2015-02-22,2015,2,22,-3.3,-11.3,-7.3,0.4,48
2015-02-23,2015,2,23,-11.0,-22.8,-16.9,0.2,46
2015-02-24,2015,2,24,-8.7,-24.0,-16.4,0.0,39
2015-02-25,2015,2,25,-4.7,-17.8,-11.3,0.2,48
2015-02-26,2015,2,26,-11.8,-20.6,-16.2,0.0,0
2015-02-27,2015,2,27,-9.2,-20.6,-14.9,0.0,41
2015-02-28,2015,2,28,-5.4,-16.0,-10.7,0.0,37
2015-03-01,2015,3,1,-3.0,-16.0,-9.5,0.0,0
2015-03-02,2015,3,2,-2.9,-12.4,-7.7,0.0,56
2015-03-03,2015,3,3,-3.6,-17.5,-10.6,2.5,41
2015-03-04,2015,3,4,2.2,-5.8,-1.8,0.2,54
2015-03-05,2015,3,5,-5.8,-18.3,-12.1,0.7,41
2015-03-06,2015,3,6,-6.6,-20.0,-13.3,0.2,35
2015-03-07,2015,3,7,-1.9,-13.5,-7.7,0.0,37
2015-03-08,2015,3,8,-0.2,-5.8,-3.0,0.2,32
2015-03-09,2015,3,9,2.8,-3.5,-0.4,1.0,43
2015-03-10,2015,3,10,7.5,-3.6,2.0,0.0,0
2015-03-11,2015,3,11,7.9,-0.5,3.7,0.0,57
2015-03-12,2015,3,12,-0.5,-9.0,-4.8,0.0,56
2015-03-13,2015,3,13,-1.9,-9.3,-5.6,0.2,0
2015-03-14,2015,3,14,0.6,-3.0,-1.2,5.9,39
2015-03-15,2015,3,15,0.1,-7.1,-3.5,0.7,46
2015-03-16,2015,3,16,2.8,-10.7,-4.0,0.2,0
2015-03-17,2015,3,17,1.5,-8.2,-3.4,1.2,59
2015-03-18,2015,3,18,-5.4,-12.7,-9.1,0.2,54
2015-03-19,2015,3,19,-1.8,-14.1,-8.0,0.2,41
2015-03-20,2015,3,20,3.1,-9.0,-3.0,0.0,32
2015-03-21,2015,3,21,2.0,-10.3,-4.2,5.5,65
2015-03-22,2015,3,22,-9.0,-15.7,-12.4,0.2,52
2015-03-23,2015,3,23,-6.0,-15.9,-11.0,0.2,44
2015-03-24,2015,3,24,-0.2,-12.2,-6.2,0.0,0
2015-03-25,2015,3,25,6.7,-7.7,-0.5,0.2,44
2015-03-26,2015,3,26,5.5,1.2,3.4,1.3,41
2015-03-27,2015,3,27,2.3,-5.4,-1.6,2.6,33
2015-03-28,2015,3,28,-2.2,-9.4,-5.8,0.2,32
2015-03-29,2015,3,29,3.5,-9.1,-2.8,0.0,37
2015-03-30,2015,3,30,4.1,-1.0,1.6,1.0,50
2015-03-31,2015,3,31,2.2,-5.4,-1.6,0.0,44
2015-04-01,2015,4,1,2.0,-6.8,-2.4,0.2,35
2015-04-02,2015,4,2,10.5,-2.4,4.1,2.1,37
2015-04-03,2015,4,3,12.9,5.6,9.3,4.2,44
2015-04-04,2015,4,4,5.7,-4.8,0.5,6.4,56
2015-04-05,2015,4,5,0.7,-4.9,-2.1,0.0,50
2015-04-06,2015,4,6,2.9,-6.0,-1.6,0.4,0
2015-04-07,2015,4,7,5.7,-3.6,1.1,0.2,0
2015-04-08,2015,4,8,5.9,-2.2,1.9,2.7,35
2015-04-09,2015,4,9,7.2,0.3,3.8,5.6,59
2015-04-10,2015,4,10,11.9,3.2,7.6,10.9,59
2015-04-11,2015,4,11,8.4,2.7,5.6,0.0,61
2015-04-12,2015,4,12,16.9,2.7,9.8,0.0,37
2015-04-15,2015,4,15,14.0,1.7,7.9,0.2,33
2015-04-16,2015,4,16,16.2,0.6,8.4,0.0,41
2015-04-17,2015,4,17,18.9,8.8,13.9,0.0,43
2015-04-18,2015,4,18,10.1,1.8,6.0,0.0,44
2015-04-19,2015,4,19,12.2,0.5,6.4,0.2,33
2015-04-20,2015,4,20,10.1,5.2,7.7,10.5,57
2015-04-21,2015,4,21,12.2,3.5,7.9,16.5,48
2015-04-22,2015,4,22,9.4,3.4,6.4,2.7,44
2015-04-23,2015,4,23,6.4,1.9,4.2,1.3,46
2015-04-24,2015,4,24,4.3,0.6,2.5,0.0,43
2015-04-25,2015,4,25,11.3,0.7,6.0,0.0,37
2015-04-26,2015,4,26,12.3,1.7,7.0,0.0,32
2015-04-27,2015,4,27,14.6,5.0,9.8,0.7,35
2015-04-28,2015,4,28,19.3,3.7,11.5,0.0,0
2015-04-29,2015,4,29,17.0,6.5,11.8,0.0,0
2015-04-30,2015,4,30,16.7,6.3,11.5,0.0,33
2015-05-01,2015,5,1,19.2,7.8,13.5,0.0,0
2015-05-02,2015,5,2,23.4,7.5,15.5,0.2,33
2015-05-03,2015,5,3,25.0,11.3,18.2,0.2,0
2015-05-04,2015,5,4,28.3,12.6,20.5,0.8,57
2015-05-05,2015,5,5,20.4,8.8,14.6,0.2,39
2015-05-06,2015,5,6,24.5,7.5,16.0,0.0,39
2015-05-07,2015,5,7,26.9,11.5,19.2,0.0,32
2015-05-08,2015,5,8,29.8,13.4,21.6,0.0,0
2015-05-09,2015,5,9,28.0,13.6,20.8,8.5,57
2015-05-10,2015,5,10,24.9,13.8,19.4,1.0,33
2015-05-11,2015,5,11,14.5,8.1,11.3,17.9,39
2015-05-12,2015,5,12,23.3,8.5,15.9,9.1,80
2015-05-13,2015,5,13,16.8,5.4,11.1,0.0,43
2015-05-14,2015,5,14,18.6,3.8,11.2,0.2,35
2015-05-15,2015,5,15,21.5,8.3,14.9,0.0,0
2015-05-16,2015,5,16,20.8,14.3,17.6,0.0,0
2015-05-17,2015,5,17,24.2,14.1,19.2,0.5,0
2015-05-18,2015,5,18,29.1,12.3,20.7,9.0,35
2015-05-19,2015,5,19,26.7,12.1,19.4,0.0,56
2015-05-20,2015,5,20,15.4,6.8,11.1,0.0,52
2015-05-21,2015,5,21,20.0,8.9,14.5,0.0,39
2015-05-22,2015,5,22,13.1,3.5,8.3,0.2,52
