Date,Year,Month,Day,Max Temp,Min Temp,Mean Temp,Total Precip (mm),Spd of Max Gust (km/h)
2020-01-01,2020,1,1,1.3,-0.9,0.2,0.9,36
2020-01-02,2020,1,2,4.0,-1.4,1.3,0.0,32
2020-01-05,2020,1,5,-1.8,-11.7,-6.7,0.2,42
2020-01-07,2020,1,7,-2.0,-8.3,-5.1,0.3,31
2020-01-08,2020,1,8,-0.1,-11.3,-5.7,1.6,54
2020-01-09,2020,1,9,-7.9,-16.2,-12.0,0.2,43
2020-01-11,2020,1,11,6.6,-3.7,1.4,44.4,43
2020-01-16,2020,1,16,-0.5,-13.7,-7.1,3.7,48
2020-01-17,2020,1,17,-13.6,-19.9,-16.8,0.4,33
2020-01-18,2020,1,18,-13.1,-17.9,-15.5,7.5,37
2020-01-19,2020,1,19,-8.3,-16.7,-12.5,1.9,35
2020-01-20,2020,1,20,-11.1,-19.0,-15.0,0.2,38
2020-01-21,2020,1,21,-3.0,-18.5,-10.7,0.0,35
2020-01-22,2020,1,22,1.6,-6.4,-2.4,0.0,44
2020-01-24,2020,1,24,1.3,-3.1,-0.9,0.0,37
2020-01-25,2020,1,25,1.3,-4.0,-1.3,10.0,34
2020-01-26,2020,1,26,2.2,0.4,1.3,6.7,32
2020-01-27,2020,1,27,2.5,0.0,1.2,0.8,32
2020-02-03,2020,2,3,3.6,-3.6,0.0,0.0,39
2020-02-05,2020,2,5,-1.7,-9.1,-5.4,0.2,37
2020-02-06,2020,2,6,-5.0,-8.8,-6.9,5.4,36
2020-02-07,2020,2,7,-5.0,-12.5,-8.7,14.1,51
2020-02-08,2020,2,8,-12.5,-19.9,-16.2,0.2,37
2020-02-12,2020,2,12,1.6,-2.9,-0.7,0.0,37
2020-02-13,2020,2,13,0.1,-14.8,-7.4,3.0,33
2020-02-15,2020,2,15,-2.1,-18.1,-10.1,0.0,35
2020-02-16,2020,2,16,2.8,-4.1,-0.7,0.0,40
2020-02-18,2020,2,18,4.6,-13.4,-4.4,5.7,65
2020-02-19,2020,2,19,2.2,-12.8,-5.3,1.0,58
2020-02-20,2020,2,20,-11.1,-16.1,-13.6,0.4,31
2020-02-21,2020,2,21,-1.3,-20.6,-11.0,0.0,45
