Date,Year,Month,Day,Max Temp,Min Temp,Mean Temp,Total Precip (mm),Spd of Max Gust (km/h)
2019-01-01,2019,1,1,2.5,-12.8,-5.1,16.5,50
2019-01-03,2019,1,3,-1.6,-14.0,-7.8,2.3,31
2019-01-04,2019,1,4,3.0,-1.9,0.5,2.3,38
2019-01-06,2019,1,6,1.5,-12.9,-5.7,0.2,46
2019-01-07,2019,1,7,-8.5,-17.1,-12.8,3.2,35
2019-01-08,2019,1,8,1.4,-8.8,-3.7,5.4,58
2019-01-09,2019,1,9,1.2,-3.0,-0.9,0.0,36
2019-01-10,2019,1,10,-2.8,-12.9,-7.9,0.2,48
2019-01-11,2019,1,11,-12.9,-18.9,-15.9,0.4,43
2019-01-12,2019,1,12,-13.5,-18.2,-15.9,0.0,31
2019-01-15,2019,1,15,-1.4,-7.8,-4.6,0.5,31
2019-01-16,2019,1,16,1.4,-17.5,-8.0,0.4,60
2019-01-19,2019,1,19,-15.1,-22.9,-19.0,1.8,38
2019-01-20,2019,1,20,-15.6,-21.2,-18.4,6.7,53
2019-01-21,2019,1,21,-16.3,-21.4,-18.9,1.1,48
2019-01-22,2019,1,22,-9.7,-22.3,-16.0,0.0,34
2019-01-24,2019,1,24,2.5,-6.6,-2.0,21.1,49
2019-01-25,2019,1,25,-1.6,-11.0,-6.3,0.4,57
2019-01-27,2019,1,27,-0.5,-12.5,-6.5,0.0,56
2019-01-29,2019,1,29,-9.1,-18.0,-13.5,6.0,40
2019-01-30,2019,1,30,-7.5,-16.8,-12.2,0.0,53
2019-01-31,2019,1,31,-13.9,-17.4,-15.6,0.0,53
2019-02-01,2019,2,1,-11.9,-17.1,-14.5,0.0,42
2019-02-02,2019,2,2,-6.3,-15.4,-10.8,2.2,34
2019-02-06,2019,2,6,-5.8,-10.7,-8.3,3.4,38
2019-02-08,2019,2,8,6.6,-8.8,-1.1,0.7,84
2019-02-09,2019,2,9,-7.0,-11.6,-9.3,0.0,70
2019-02-10,2019,2,10,-6.4,-13.3,-9.8,0.0,39
2019-02-12,2019,2,12,-5.7,-16.5,-11.1,13.9,40
2019-02-13,2019,2,13,0.9,-7.5,-3.3,14.2,43
2019-02-14,2019,2,14,-4.4,-9.3,-6.9,0.0,47
2019-02-15,2019,2,15,4.1,-6.5,-1.2,2.7,55
2019-02-16,2019,2,16,-1.7,-11.8,-6.8,0.0,40
2019-02-18,2019,2,18,-7.4,-16.3,-11.8,0.0,41
2019-02-19,2019,2,19,-9.3,-17.5,-13.4,0.0,37
2019-02-21,2019,2,21,3.1,-7.8,-2.4,8.1,44
2019-02-22,2019,2,22,-0.7,-10.7,-5.7,0.0,36
