Date,Year,Month,Day,Max Temp,Min Temp,Mean Temp,Total Precip (mm),Spd of Max Gust (km/h)
2014-01-01,2014,1,1,-16.2,-24.2,-20.2,0.0,32
2014-01-02,2014,1,2,-22.2,-27.0,-24.6,0.4,41
2014-01-03,2014,1,3,-18.9,-24.2,-21.6,0.2,44
2014-01-04,2014,1,4,-8.2,-23.7,-16.0,0.0,0
2014-01-05,2014,1,5,0.6,-12.5,-6.0,6.6,0
2014-01-06,2014,1,6,6.7,-11.1,-2.2,13.4,72
2014-01-07,2014,1,7,-11.0,-16.4,-13.7,0.2,65
2014-01-09,2014,1,9,-7.5,-11.9,-9.7,0.0,35
2014-01-10,2014,1,10,-4.0,-13.3,-8.7,0.0,0
2014-01-11,2014,1,11,7.7,-6.0,0.9,9.4,52
2014-01-12,2014,1,12,5.3,0.8,3.1,0.0,56
2014-01-13,2014,1,13,4.5,-1.6,1.5,0.0,33
2014-01-14,2014,1,14,4.7,-0.9,1.9,4.7,0
2014-01-15,2014,1,15,2.3,-4.0,-0.9,0.0,0
2014-01-16,2014,1,16,0.0,-5.1,-2.6,0.0,0
2014-01-17,2014,1,17,0.7,-4.1,-1.7,0.2,32
2014-01-18,2014,1,18,3.1,-6.4,-1.7,0.2,0
2014-01-19,2014,1,19,-1.6,-6.4,-4.0,0.5,65
2014-01-20,2014,1,20,-6.3,-20.7,-13.5,1.1,37
2014-01-21,2014,1,21,-18.5,-24.0,-21.3,0.2,0
2014-01-22,2014,1,22,-17.4,-25.5,-21.5,0.0,0
2014-01-23,2014,1,23,-17.3,-22.7,-20.0,0.0,33
2014-01-24,2014,1,24,-9.6,-23.3,-16.5,0.0,43
2014-01-25,2014,1,25,-5.1,-15.2,-10.2,0.0,59
2014-01-26,2014,1,26,-12.8,-21.4,-17.1,0.2,56
2014-01-27,2014,1,27,-6.0,-17.1,-11.6,3.0,70
2014-01-28,2014,1,28,-10.3,-19.4,-14.9,0.2,50
2014-01-29,2014,1,29,-9.3,-13.6,-11.5,0.0,52
2014-01-30,2014,1,30,-4.1,-12.3,-8.2,0.0,39
2014-01-31,2014,1,31,1.4,-5.4,-2.0,0.0,78
2014-02-01,2014,2,1,-1.0,-9.4,-5.2,9.9,0
2014-02-02,2014,2,2,-1.1,-9.7,-5.4,3.6,0
2014-02-03,2014,2,3,-5.2,-15.4,-10.3,0.2,0
2014-02-04,2014,2,4,-6.0,-17.0,-11.5,0.0,0
2014-02-05,2014,2,5,-7.6,-15.8,-11.7,2.9,41
2014-02-06,2014,2,6,-9.0,-19.3,-14.2,0.0,0
2014-02-07,2014,2,7,-7.3,-11.7,-9.5,0.0,56
2014-02-08,2014,2,8,-5.5,-11.9,-8.7,0.0,35
2014-02-09,2014,2,9,-5.3,-12.1,-8.7,0.6,0
2014-02-10,2014,2,10,-6.8,-15.2,-11.0,0.2,32
2014-02-11,2014,2,11,-11.1,-18.4,-14.8,0.0,0
2014-02-12,2014,2,12,-9.7,-22.5,-16.1,0.2,0
2014-02-13,2014,2,13,-6.1,-18.1,-12.1,0.3,48
2014-02-14,2014,2,14,-2.5,-6.1,-4.3,5.6,59
2014-02-15,2014,2,15,-5.4,-12.6,-9.0,0.0,0
2014-02-16,2014,2,16,-9.3,-16.1,-12.7,0.0,44
2014-02-17,2014,2,17,-9.8,-17.2,-13.5,0.2,32
2014-02-18,2014,2,18,-3.4,-15.3,-9.4,0.9,0
2014-02-19,2014,2,19,1.4,-5.4,-2.0,0.0,37
2014-02-20,2014,2,20,3.2,-4.3,-0.6,0.0,37
2014-02-21,2014,2,21,4.5,0.3,2.4,18.4,41
2014-02-22,2014,2,22,6.4,-1.2,2.6,0.0,69
2014-02-23,2014,2,23,1.8,-4.2,-1.2,0.0,48
2014-02-24,2014,2,24,-4.2,-10.6,-7.4,0.2,50
2014-02-25,2014,2,25,-8.8,-13.1,-11.0,0.0,37
