Date,Year,Month,Day,Max Temp,Min Temp,Mean Temp,Total Precip (mm),Spd of Max Gust (km/h)
2013-01-01,2013,1,1,-1.2,-16.5,-8.9,0.2,54
2013-01-02,2013,1,2,-13.8,-22.9,-18.4,0.6,0
2013-01-03,2013,1,3,-12.9,-23.1,-18.0,0.8,0
2013-01-04,2013,1,4,0.5,-15.1,-7.3,0.5,56
2013-01-05,2013,1,5,0.6,-12.7,-6.1,0.0,56
2013-01-06,2013,1,6,-6.9,-10.5,-8.7,5.0,32
2013-01-07,2013,1,7,-6.0,-13.6,-9.8,0.0,32
2013-01-08,2013,1,8,1.8,-10.7,-4.5,0.0,41
2013-01-09,2013,1,9,5.5,-6.2,-0.4,0.4,56
2013-01-10,2013,1,10,3.0,-2.5,0.3,0.0,48
2013-01-11,2013,1,11,2.9,-2.9,0.0,0.2,0
2013-01-12,2013,1,12,5.3,1.5,3.4,0.4,0
2013-01-13,2013,1,13,5.6,1.9,3.8,4.4,43
2013-01-14,2013,1,14,6.2,-0.3,3.0,1.3,54
2013-01-15,2013,1,15,0.0,-3.2,-1.6,0.0,0
2013-01-16,2013,1,16,1.9,-3.4,-0.8,0.0,35
2013-01-17,2013,1,17,1.7,-18.9,-8.6,0.8,56
2013-01-18,2013,1,18,-7.0,-21.4,-14.2,0.0,41
2013-01-19,2013,1,19,1.1,-7.5,-3.2,11.6,35
2013-01-20,2013,1,20,6.6,-15.7,-4.6,4.3,69
2013-01-21,2013,1,21,-15.5,-19.6,-17.6,0.2,32
2013-01-22,2013,1,22,-15.3,-23.0,-19.2,0.2,43
2013-01-23,2013,1,23,-22.3,-27.2,-24.8,0.2,0
2013-01-24,2013,1,24,-17.0,-24.0,-20.5,0.0,52
2013-01-25,2013,1,25,-14.6,-20.6,-17.6,0.0,32
2013-01-26,2013,1,26,-11.0,-21.0,-16.0,0.0,32
2013-01-27,2013,1,27,-10.7,-18.0,-14.4,0.0,0
2013-01-28,2013,1,28,-6.2,-14.3,-10.3,3.2,0
2013-01-29,2013,1,29,1.9,-11.0,-4.6,2.2,0
2013-01-30,2013,1,30,7.9,1.6,4.8,4.4,44
2013-01-31,2013,1,31,9.6,-12.0,-1.2,11.5,85
2013-02-01,2013,2,1,-11.7,-15.3,-13.5,0.0,44
2013-02-02,2013,2,2,-11.3,-16.9,-14.1,1.0,0
2013-02-03,2013,2,3,-9.0,-15.7,-12.4,0.0,0
2013-02-04,2013,2,4,-8.0,-17.7,-12.9,0.4,52
2013-02-05,2013,2,5,-9.1,-19.8,-14.5,0.2,0
2013-02-06,2013,2,6,-6.1,-16.0,-11.1,0.0,46
2013-02-07,2013,2,7,-15.5,-20.6,-18.1,0.2,0
2013-02-08,2013,2,8,-10.8,-17.1,-14.0,6.8,56
2013-02-09,2013,2,9,-6.6,-17.0,-11.8,0.0,46
2013-02-10,2013,2,10,-5.4,-19.0,-12.2,0.0,0
2013-02-11,2013,2,11,3.4,-10.6,-3.6,2.6,48
2013-02-12,2013,2,12,2.6,-0.5,1.1,0.3,50
2013-02-13,2013,2,13,0.7,-1.9,-0.6,,0
2013-02-14,2013,2,14,1.6,-1.8,-0.1,,0
2013-02-15,2013,2,15,3.8,-3.4,0.2,1.6,57
2013-02-16,2013,2,16,-3.4,-11.3,-7.4,0.0,37
2013-02-17,2013,2,17,-7.5,-14.6,-11.1,0.2,52
2013-02-18,2013,2,18,-7.8,-15.9,-11.9,0.0,52
2013-02-19,2013,2,19,0.1,-11.4,-5.7,4.6,37
2013-02-20,2013,2,20,-1.2,-11.3,-6.3,2.1,0
2013-02-21,2013,2,21,,-13.1,,0.6,0
2013-02-22,2013,2,22,-0.1,-6.8,-3.5,,0
2013-02-23,2013,2,23,1.5,-2.9,-0.7,6.1,33
2013-02-24,2013,2,24,1.3,0.2,0.8,1.2,0
2013-02-25,2013,2,25,2.4,-1.5,0.5,0.4,0
2013-02-26,2013,2,26,3.7,-1.0,1.4,0.0,0
2013-02-27,2013,2,27,2.9,0.0,1.5,12.7,44
2013-02-28,2013,2,28,1.9,-0.3,0.8,0.7,33
2013-03-01,2013,3,1,1.6,-1.5,0.1,1.4,0
2013-03-02,2013,3,2,0.4,-4.5,-2.1,2.2,0
2013-03-03,2013,3,3,-1.4,-5.2,-3.3,0.6,39
2013-03-04,2013,3,4,-3.4,-7.1,-5.3,1.0,46
2013-03-05,2013,3,5,2.2,-4.4,-1.1,0.2,32
2013-03-06,2013,3,6,3.9,0.4,2.2,0.0,44
2013-03-07,2013,3,7,0.6,-0.9,-0.2,0.0,37
2013-03-08,2013,3,8,3.6,-4.6,-0.5,0.0,33
2013-03-09,2013,3,9,5.8,-6.3,-0.3,0.0,0
2013-03-10,2013,3,10,8.7,-2.3,3.2,0.0,32
2013-03-11,2013,3,11,7.5,2.8,5.2,0.7,35
2013-03-12,2013,3,12,7.5,2.1,4.8,13.6,35
2013-03-13,2013,3,13,5.1,0.1,2.6,0.0,33
2013-03-14,2013,3,14,0.1,-9.1,-4.5,0.2,54
2013-03-15,2013,3,15,-2.0,-9.4,-5.7,0.3,39
2013-03-16,2013,3,16,-4.7,-10.4,-7.6,0.2,32
2013-03-17,2013,3,17,-3.9,-10.9,-7.4,0.0,41
2013-03-18,2013,3,18,-1.5,-13.0,-7.3,0.0,32
2013-03-19,2013,3,19,-0.4,-4.5,-2.5,26.0,33
2013-03-20,2013,3,20,0.3,-6.1,-2.9,1.1,37
2013-03-21,2013,3,21,1.1,-4.9,-1.9,0.2,39
2013-03-22,2013,3,22,-0.5,-5.1,-2.8,0.0,37
2013-03-23,2013,3,23,2.8,-4.3,-0.8,0.0,52
2013-03-24,2013,3,24,3.7,-3.8,-0.1,0.0,0
2013-03-25,2013,3,25,7.0,-3.3,1.9,0.0,41
2013-03-26,2013,3,26,7.1,-2.8,2.2,0.4,0
2013-03-27,2013,3,27,7.8,-0.9,3.5,0.4,0
2013-03-28,2013,3,28,9.4,1.0,5.2,0.2,0
2013-03-29,2013,3,29,8.4,0.4,4.4,0.0,32
2013-03-30,2013,3,30,9.0,-3.5,2.8,0.0,0
2013-03-31,2013,3,31,12.9,-0.7,6.1,4.2,48
2013-04-01,2013,4,1,6.8,-5.7,0.6,1.5,67
2013-04-02,2013,4,2,-0.9,-6.6,-3.8,0.0,59
2013-04-03,2013,4,3,2.2,-4.6,-1.2,0.0,63
2013-04-04,2013,4,4,9.0,-3.5,2.8,0.0,46
2013-04-05,2013,4,5,6.3,-4.1,1.1,0.7,48
2013-04-06,2013,4,6,2.4,-6.9,-2.3,0.0,35
2013-04-07,2013,4,7,12.9,0.5,6.7,0.0,54
2013-04-08,2013,4,8,9.0,2.5,5.8,2.9,33
2013-04-09,2013,4,9,8.9,1.7,5.3,11.7,35
2013-04-10,2013,4,10,10.0,2.0,6.0,0.0,33
2013-04-11,2013,4,11,3.7,-1.6,1.1,0.0,32
2013-04-12,2013,4,12,2.1,-1.4,0.4,19.5,41
2013-04-13,2013,4,13,5.8,1.6,3.7,0.7,44
2013-04-14,2013,4,14,9.3,2.1,5.7,0.2,35
2013-04-15,2013,4,15,13.6,-0.6,6.5,0.2,35
2013-04-16,2013,4,16,13.7,5.8,9.8,8.0,41
2013-04-17,2013,4,17,13.2,2.7,8.0,0.0,32
2013-04-18,2013,4,18,16.6,4.5,10.6,0.0,52
2013-04-19,2013,4,19,21.6,6.6,14.1,2.7,82
2013-04-20,2013,4,20,9.0,-0.5,4.3,0.4,61
2013-04-21,2013,4,21,6.7,-2.8,2.0,0.0,39
2013-04-22,2013,4,22,14.4,-0.1,7.2,0.0,39
2013-04-23,2013,4,23,14.8,2.6,8.7,0.0,46
2013-04-24,2013,4,24,21.7,5.4,13.6,3.5,78
2013-04-25,2013,4,25,11.2,3.2,7.2,0.0,70
2013-04-26,2013,4,26,11.2,1.7,6.5,0.0,0
2013-04-27,2013,4,27,15.7,2.4,9.1,0.0,0
2013-04-28,2013,4,28,21.3,2.9,12.1,0.0,0
2013-04-29,2013,4,29,21.9,9.9,15.9,0.0,44
2013-04-30,2013,4,30,22.1,11.6,16.9,0.0,0
2013-05-01,2013,5,1,26.2,9.7,18.0,0.0,0
2013-05-02,2013,5,2,25.3,11.7,18.5,0.0,37
2013-05-03,2013,5,3,22.9,10.4,16.7,0.0,35
2013-05-04,2013,5,4,24.6,9.2,16.9,0.0,0
2013-05-05,2013,5,5,26.6,11.4,19.0,0.0,0
2013-05-06,2013,5,6,26.9,10.3,18.6,0.0,0
2013-05-07,2013,5,7,28.2,10.9,19.6,0.0,0
2013-05-08,2013,5,8,28.7,12.2,20.5,0.2,50
2013-05-09,2013,5,9,24.7,16.3,20.5,0.0,0
2013-05-10,2013,5,10,20.7,11.0,15.9,0.0,41
2013-05-11,2013,5,11,18.8,10.2,14.5,14.1,54
2013-05-12,2013,5,12,13.5,3.9,8.7,0.0,67
2013-05-13,2013,5,13,10.2,1.5,5.9,0.0,54
2013-05-14,2013,5,14,14.6,-0.2,7.2,0.0,33
2013-05-15,2013,5,15,17.2,3.7,10.5,1.0,50
2013-05-16,2013,5,16,17.4,8.9,13.2,0.0,46
2013-05-17,2013,5,17,19.8,5.2,12.5,0.0,32
2013-05-18,2013,5,18,22.1,6.0,14.1,0.0,0
2013-05-19,2013,5,19,20.6,9.3,15.0,3.5,43
2013-05-20,2013,5,20,22.6,13.6,18.1,3.5,0
2013-05-21,2013,5,21,19.4,13.8,16.6,4.0,46
2013-05-22,2013,5,22,23.6,12.8,18.2,5.9,52
2013-05-23,2013,5,23,22.5,10.0,16.3,5.5,39
2013-05-24,2013,5,24,10.9,7.5,9.2,5.9,37
2013-05-25,2013,5,25,10.0,6.6,8.3,12.9,48
2013-05-26,2013,5,26,12.9,4.3,8.6,12.6,50
2013-05-27,2013,5,27,20.6,3.6,12.1,0.0,39
2013-05-28,2013,5,28,23.4,7.8,15.6,,0
2013-05-29,2013,5,29,21.0,14.4,17.7,19.0,39
2013-05-30,2013,5,30,27.8,15.4,21.6,0.0,37
2013-05-31,2013,5,31,31.7,19.8,25.8,0.0,46
2013-06-01,2013,6,1,29.9,20.3,25.1,11.7,76
2013-06-02,2013,6,2,26.4,18.8,22.6,12.3,46
2013-06-03,2013,6,3,18.8,11.9,15.4,0.0,44
2013-06-04,2013,6,4,18.2,8.4,13.3,0.0,43
2013-06-05,2013,6,5,19.0,5.8,12.4,0.0,0
2013-06-06,2013,6,6,16.1,10.2,13.2,6.5,0
2013-06-07,2013,6,7,14.9,11.9,13.4,8.7,41
2013-06-08,2013,6,8,16.3,11.7,14.0,3.8,0
2013-06-09,2013,6,9,24.7,14.5,19.6,0.0,41
2013-06-10,2013,6,10,25.2,13.5,19.4,0.2,0
2013-06-11,2013,6,11,16.2,13.0,14.6,33.0,41
2013-06-12,2013,6,12,22.1,12.7,17.4,2.4,32
2013-06-13,2013,6,13,23.4,11.0,17.2,0.0,0
2013-06-14,2013,6,14,25.6,11.5,18.6,0.0,43
2013-06-15,2013,6,15,24.2,10.6,17.4,0.0,44
2013-06-16,2013,6,16,18.6,12.8,15.7,10.3,0
2013-06-17,2013,6,17,20.6,9.3,15.0,0.0,43
