Date,Year,Month,Day,Max Temp,Min Temp,Mean Temp,Total Precip (mm),Spd of Max Gust (km/h)
2017-01-01,2017,1,1,-2.5,-8.6,-5.6,2.3,50
2017-01-02,2017,1,2,2.7,-9.1,-3.2,0.0,0
2017-01-03,2017,1,3,0.7,-5.3,-2.3,9.8,33
2017-01-04,2017,1,4,2.6,-5.3,-1.4,9.9,69
2017-01-05,2017,1,5,-4.9,-10.7,-7.8,0.3,70
2017-01-06,2017,1,6,-7.3,-16.2,-11.8,0.0,0
2017-01-07,2017,1,7,-10.1,-18.6,-14.4,0.2,0
2017-01-08,2017,1,8,-10.8,-20.0,-15.4,0.0,35
2017-01-09,2017,1,9,-7.0,-21.4,-14.2,0.0,37
2017-01-10,2017,1,10,1.6,-8.4,-3.4,2.2,59
2017-01-11,2017,1,11,5.9,1.5,3.7,3.0,74
2017-01-12,2017,1,12,5.2,-0.7,2.3,8.8,57
2017-01-13,2017,1,13,-0.3,-14.7,-7.5,0.4,61
2017-01-14,2017,1,14,-6.6,-16.6,-11.6,0.2,0
2017-01-15,2017,1,15,-6.9,-11.2,-9.1,0.0,0
2017-01-16,2017,1,16,3.0,-9.9,-3.5,0.0,50
2017-01-17,2017,1,17,-0.2,-5.4,-2.8,0.2,39
2017-01-18,2017,1,18,-1.2,-5.2,-3.2,4.1,33
2017-01-19,2017,1,19,2.0,-1.2,0.4,0.7,0
2017-01-20,2017,1,20,2.3,0.3,1.3,0.0,0
2017-01-21,2017,1,21,2.0,0.5,1.3,0.7,0
2017-01-22,2017,1,22,2.3,-2.4,-0.1,0.2,43
2017-01-23,2017,1,23,0.2,-3.5,-1.7,0.0,43
2017-01-24,2017,1,24,-2.2,-3.8,-3.0,4.7,48
2017-01-25,2017,1,25,0.7,-2.3,-0.8,1.5,0
2017-01-26,2017,1,26,1.4,0.1,0.8,4.3,39
2017-01-27,2017,1,27,1.0,-3.1,-1.1,1.6,54
2017-01-28,2017,1,28,0.5,-2.7,-1.1,0.0,39
2017-01-29,2017,1,29,0.0,-6.5,-3.3,0.9,32
2017-01-30,2017,1,30,-6.4,-14.1,-10.3,0.4,0
2017-01-31,2017,1,31,-6.7,-17.7,-12.2,0.0,0
2017-02-01,2017,2,1,-6.1,-13.8,-10.0,0.0,0
2017-02-03,2017,2,3,-5.1,-9.2,-7.2,0.5,37
2017-02-04,2017,2,4,-3.1,-11.7,-7.4,0.0,43
2017-02-05,2017,2,5,0.1,-7.7,-3.8,0.2,52
2017-02-06,2017,2,6,-7.6,-13.8,-10.7,1.1,43
2017-02-07,2017,2,7,1.3,-11.8,-5.3,17.1,48
2017-02-08,2017,2,8,4.4,-9.5,-2.6,11.6,65
2017-02-09,2017,2,9,-9.5,-15.2,-12.4,0.0,35
2017-02-10,2017,2,10,-12.8,-16.2,-14.5,0.0,46
2017-02-11,2017,2,11,-10.2,-13.7,-12.0,0.7,32
2017-02-12,2017,2,12,-3.2,-13.4,-8.3,5.0,32
2017-02-13,2017,2,13,-3.0,-8.0,-5.5,13.3,35
2017-02-16,2017,2,16,-2.0,-5.0,-3.5,1.6,37
2017-02-17,2017,2,17,-2.7,-8.3,-5.5,0.0,43
2017-02-18,2017,2,18,8.3,-4.9,1.7,0.0,52
2017-02-19,2017,2,19,7.6,0.3,4.0,0.0,41
2017-02-20,2017,2,20,0.9,-6.3,-2.7,0.0,0
2017-02-21,2017,2,21,3.4,-7.0,-1.8,0.0,33
2017-02-22,2017,2,22,8.1,0.2,4.2,0.0,0
2017-02-23,2017,2,23,12.6,1.8,7.2,0.0,46
2017-02-24,2017,2,24,4.8,1.0,2.9,1.0,41
2017-02-25,2017,2,25,14.7,0.3,7.5,27.4,56
2017-02-26,2017,2,26,2.1,-4.8,-1.4,0.2,65
2017-02-27,2017,2,27,5.8,-2.1,1.9,0.0,56
2017-02-28,2017,2,28,8.3,-4.0,2.2,0.0,0
2017-03-01,2017,3,1,7.2,2.0,4.6,14.5,43
2017-03-02,2017,3,2,5.8,-10.0,-2.1,0.2,65
2017-03-03,2017,3,3,-7.6,-14.4,-11.0,0.0,44
2017-03-04,2017,3,4,-12.0,-17.7,-14.9,0.0,46
2017-03-05,2017,3,5,-6.0,-17.4,-11.7,0.0,0
2017-03-06,2017,3,6,0.6,-12.1,-5.8,0.0,0
2017-03-07,2017,3,7,5.8,-2.7,1.6,11.8,33
2017-03-08,2017,3,8,10.6,1.1,5.9,4.2,57
2017-03-09,2017,3,9,2.1,-5.5,-1.7,0.3,63
2017-03-10,2017,3,10,-4.3,-18.9,-11.6,0.2,52
2017-03-11,2017,3,11,-15.0,-20.7,-17.9,0.2,57
2017-03-12,2017,3,12,-10.3,-17.1,-13.7,0.0,43
2017-03-14,2017,3,14,-7.5,-9.4,-8.5,11.6,61
2017-03-15,2017,3,15,-4.4,-8.2,-6.3,4.2,46
2017-03-16,2017,3,16,-3.2,-10.0,-6.6,0.0,46
2017-03-17,2017,3,17,-1.9,-13.2,-7.6,0.0,0
2017-03-18,2017,3,18,0.7,-13.9,-6.6,0.0,32
2017-03-19,2017,3,19,3.7,-7.9,-2.1,0.0,0
2017-03-20,2017,3,20,5.5,-6.8,-0.7,0.2,0
2017-03-21,2017,3,21,4.2,-3.6,0.3,0.2,57
2017-03-22,2017,3,22,-3.6,-13.3,-8.5,0.2,56
2017-03-23,2017,3,23,0.7,-10.9,-5.1,0.0,35
2017-03-24,2017,3,24,0.1,-2.9,-1.4,7.2,0
2017-03-25,2017,3,25,3.0,-6.7,-1.9,1.6,32
2017-03-26,2017,3,26,1.7,-6.0,-2.2,1.0,32
2017-03-27,2017,3,27,4.2,1.3,2.8,9.8,0
2017-03-28,2017,3,28,4.8,0.8,2.8,2.9,0
2017-03-29,2017,3,29,6.0,1.5,3.8,0.0,35
2017-03-30,2017,3,30,5.6,-1.3,2.2,0.0,33
2017-03-31,2017,3,31,5.4,0.5,3.0,9.7,32
